question,investment_asset_and_type
"I plan to invest $100,000 for the medium and long term, prioritizing ETFs, and hope to avoid high volatility and pursue stable returns. Is there a suitable strategy for me?",Investment Target: ETF; Investment Style: Valuation-based Dollar-Cost Averaging
I want to learn Buffett's value investing. Please help me design a strategy to screen for US stocks with 'moats'.,Investment Target: Stocks; Investment Style: Value Investing
How to build a US stock income portfolio strategy composed of 'Dividend Aristocrats'?,Investment Target: Stocks; Investment Style: High Dividend/Dividend Growth
How to formulate a 'cigar butt' strategy to specifically invest in undervalued or even net-break (P/B < 1) US stocks?,Investment Target: Stocks; Investment Style: Deep Value Investing
Help me generate a value investing strategy for US tech stocks.,Investment Target: Stocks; Investment Style: Value Investing
Please provide a US stock value investing strategy based on Free Cash Flow (FCF).,Investment Target: Stocks; Investment Style: Value Investing
How to find 'GARP' type US stocks with stable earnings growth but reasonable valuations? Please provide a stock selection strategy.,Investment Target: Stocks; Investment Style: GARP (Growth At a Reasonable Price)
Give me a screening standard to find value-type US stocks with a P/E ratio below 15 and a dividend yield above 4%.,Investment Target: Stocks; Investment Style: Value Investing/High Dividend
"To create a strategy for investing in 'turnaround' US stocks, what screening indicators are needed?",Investment Target: Stocks; Investment Style: Contrarian Investing/Value Investing
Give me a quality factor stock selection strategy for US consumer stocks.,Investment Target: Stocks; Investment Style: Quality Factor Selection
Give me a value discovery strategy for US small-cap stocks.,Investment Target: Stocks; Investment Style: Value Discovery
Generate a factor quality strategy for US large-cap stocks.,Investment Target: Stocks; Investment Style: Factor Quality
Give me a value-factor-dominant strategy for US large-cap stocks.,Investment Target: Stocks; Investment Style: Value Factor Dominant
How to use 'Shareholder Yield' (Dividend Yield + Buyback Rate) to screen US stocks?,Investment Target: Stocks; Investment Style: Value Investing/Quality Investing
"I want to invest in US companies with pricing power. Which financial indicators should I look at, and how should the strategy be formulated?",Investment Target: Stocks; Investment Style: Value Investing/Moat
"How to use 'DuPont analysis' to break down ROE and screen for high-quality, high-profitability US companies?",Investment Target: Stocks; Investment Style: Quality Investing/Fundamental Analysis
"How to screen for companies where 'cash is king', i.e., US companies with a high ratio of cash and equivalents to market capitalization?",Investment Target: Stocks; Investment Style: Value Investing/Quality Investing
"I want to invest in consumer goods companies with strong brand effects (like Coca-Cola, Nike). What is the strategy?",Investment Target: Stocks; Investment Style: Value Investing/Brand Value
How to screen for small-cap US tech stocks with revenue growth exceeding 20% for three consecutive years? Please provide a specific strategy.,Investment Target: Stocks; Investment Style: Growth Investing/Small Cap
"For the US electric vehicle (EV) industry chain, how to formulate a portfolio investment strategy that includes upstream, midstream, and downstream sectors?",Investment Target: Stocks; Investment Style: Thematic Investing/Growth Investing
"Help me design a screening strategy to find future 'ten-bagger' US growth stocks, accepting high risk.",Investment Target: Stocks; Investment Style: High Risk/Growth Investing
I'm optimistic about the future of biotech. How can I formulate a strategy to invest in innovative US pharmaceutical companies and manage the risks well?,Investment Target: Stocks; Investment Style: Thematic Investing/Venture Capital
"Please provide an investment strategy focusing on US companies with excellent ESG (Environmental, Social, and Governance) performance.",Investment Target: Stocks; Investment Style: ESG Investing/Thematic Investing
How to formulate a short-term US stock trading strategy based on the Earnings Season?,Investment Target: Stocks; Investment Style: Event-Driven
Help me create a growth factor screening strategy for US tech stocks.,Investment Target: Stocks; Investment Style: Growth Factor Screening
Give me a growth acceleration strategy for US tech stocks.,Investment Target: Stocks; Investment Style: Growth Acceleration
Give me a cyclical trading strategy for investing in US airline stocks.,Investment Target: Stocks; Investment Style: Cyclical Investing
Formulate a US stock selection strategy based on Peter Lynch's investment philosophy to find a 'tenbagger'.,Investment Target: Stocks; Investment Style: Growth Investing/Value Investing
Give me a US growth stock selection strategy based on the 'CAN SLIM' model.,Investment Target: Stocks; Investment Style: Growth Investing
